value,date
15055.6,2016-10-01
15050.2,2016-10-02
15046.8,2016-10-03
15066.2,2016-10-04
15031.1,2016-10-05
15008.5,2016-10-08
15063.2,2016-10-09
15135.1,2016-10-10
15126.7,2016-10-15
15087.4,2016-10-16
15151.0,2016-10-17
15225.6,2016-10-18
15290.8,2016-10-19
15371.2,2016-10-22
15412.6,2016-10-23
15486.5,2016-10-24
15598.5,2016-10-25
15715.0,2016-10-26
15848.5,2016-10-29
15804.7,2016-10-30
15819.5,2016-10-31
15727.2,2016-11-01
15743.0,2016-11-02
15765.5,2016-11-05
15729.4,2016-11-06
15851.2,2016-11-07
15924.2,2016-11-08
15585.9,2016-11-09
15701.1,2016-11-12
15789.7,2016-11-13
15903.2,2016-11-14
15906.0,2016-11-15
15919.8,2016-11-16
15959.0,2016-11-19
15992.1,2016-11-21
16027.5,2016-11-22
16053.5,2016-11-23
16082.5,2016-11-26
16144.8,2016-11-27
16172.5,2016-11-29
16005.6,2016-12-03
16020.8,2016-12-04
16089.9,2016-12-05
16120.0,2016-12-06
16182.4,2016-12-07
16180.8,2016-12-10
16113.9,2016-12-11
16062.6,2016-12-12
16021.2,2016-12-13
15969.5,2016-12-14
15922.1,2016-12-18
15815.7,2016-12-19
15720.2,2016-12-20
15797.0,2016-12-21
15829.5,2016-12-24
15816.1,2016-12-25
15778.2,2016-12-26
15704.6,2016-12-27
15669.6,2016-12-28
15640.3,2016-12-31
15551.8,2017-01-01
15532.7,2017-01-02
15470.1,2017-01-03
15420.2,2017-01-04
15365.2,2017-01-07
15325.3,2017-01-08
15263.1,2017-01-09
15275.9,2017-01-11
15414.8,2017-01-14
15447.5,2017-01-15
15453.9,2017-01-16
15503.8,2017-01-17
15562.7,2017-01-18
15515.7,2017-01-21
15499.4,2017-01-22
15557.0,2017-01-23
15588.9,2017-01-24
15630.7,2017-01-25
15634.3,2017-01-28
15669.1,2017-01-29
15769.7,2017-01-30
15739.6,2017-01-31
15641.2,2017-02-01
15490.9,2017-02-04
15404.0,2017-02-05
15436.4,2017-02-06
15482.8,2017-02-07
15484.8,2017-02-08
15489.9,2017-02-11
15497.4,2017-02-12
15510.5,2017-02-13
15540.7,2017-02-14
15579.8,2017-02-15
15651.3,2017-02-18
15718.8,2017-02-19
15760.0,2017-02-20
15819.7,2017-02-21
15831.3,2017-02-22
15840.3,2017-02-25
15817.5,2017-02-26
15812.5,2017-02-27
15791.8,2017-02-28
15791.5,2017-03-01
15688.1,2017-03-04
15608.3,2017-03-05
15557.1,2017-03-06
15525.3,2017-03-07
15429.1,2017-03-08
15334.0,2017-03-11
15354.4,2017-03-12
15428.4,2017-03-13
15526.8,2017-03-14
15572.6,2017-03-15
15722.8,2017-03-18
15868.0,2017-03-25
15926.2,2017-03-26
15962.6,2017-03-27
16059.3,2017-03-28
16115.8,2017-03-29
16218.9,2017-04-03
16286.4,2017-04-04
16392.5,2017-04-05
16562.6,2017-04-08
16701.5,2017-04-09
16873.7,2017-04-10
16931.0,2017-04-12
17111.2,2017-04-15
17090.4,2017-04-16
17002.4,2017-04-17
17003.7,2017-04-18
17091.9,2017-04-19
17344.1,2017-04-22
17369.7,2017-04-23
17445.3,2017-04-24
17575.0,2017-04-26
17585.7,2017-04-29
17575.6,2017-04-30
17601.2,2017-05-01
17653.1,2017-05-02
17707.6,2017-05-03
17714.2,2017-05-06
17691.9,2017-05-07
17614.6,2017-05-08
17468.7,2017-05-09
17553.3,2017-05-10
17489.5,2017-05-13
17353.2,2017-05-14
17323.6,2017-05-15
17398.3,2017-05-16
17421.5,2017-05-17
17673.1,2017-05-20
17631.7,2017-05-21
17604.1,2017-05-22
17658.0,2017-05-23
17702.6,2017-05-24
17608.7,2017-05-27
17511.5,2017-05-28
17472.7,2017-05-29
17448.6,2017-05-30
17486.2,2017-05-31
17475.3,2017-06-03
17434.5,2017-06-06
17230.4,2017-06-07
17239.1,2017-06-10
17169.6,2017-06-11
17110.5,2017-06-12
17098.9,2017-06-13
17184.2,2017-06-14
17148.8,2017-06-17
17005.8,2017-06-18
16939.0,2017-06-19
16963.8,2017-06-20
16963.6,2017-06-21
17014.3,2017-06-24
17078.5,2017-06-25
17115.7,2017-06-28
17181.2,2017-07-01
17160.4,2017-07-02
17163.0,2017-07-03
17166.6,2017-07-04
17193.7,2017-07-05
17227.5,2017-07-08
17268.9,2017-07-09
17323.2,2017-07-10
17343.4,2017-07-11
17344.1,2017-07-12
17383.0,2017-07-15
17367.2,2017-07-16
17355.7,2017-07-17
17390.8,2017-07-18
17541.3,2017-07-19
17669.4,2017-07-22
17729.8,2017-07-23
17796.7,2017-07-24
17823.3,2017-07-25
17819.6,2017-07-26
17765.4,2017-07-29
17777.8,2017-07-30
17818.0,2017-07-31
17810.4,2017-08-01
17815.7,2017-08-02
17846.1,2017-08-06
17735.6,2017-08-07
17678.9,2017-08-08
17700.6,2017-08-09
17653.6,2017-08-12
17562.1,2017-08-13
17536.4,2017-08-14
17628.4,2017-08-15
17625.1,2017-08-16
17635.7,2017-08-19
17655.8,2017-08-20
17688.9,2017-08-21
17703.4,2017-08-22
17733.1,2017-08-23
17750.1,2017-08-26
17770.5,2017-08-27
17838.1,2017-08-28
17868.0,2017-08-29
17895.2,2017-08-30
17848.4,2017-09-02
17777.3,2017-09-03
